protein	pdb/af50m	empty	best_ann	annotation_found
2552399712	af50m	False	DUF2590 family protein	True
387155857	pdb	True	NA	NA
387155857	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;PZN48828 : Uncharacterized protein (active UniProt ID: Y);A0A2W4P021 : dATP/dGTP diphosphohydrolase N-terminal domain-containing protein (active UniProt ID: N)	True
1870366885	pdb	True	NA	NA
1870366885	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;HCU2011188 : Uncharacterized protein (active UniProt ID: Y);TGA86019 : hypothetical protein (active UniProt ID: N);A0A5K1S8R1 : Exonuclease SbcC (active UniProt ID: N);MBV6195566 : Uncharacterized protein (active UniProt ID: Y);WP_096236413 : hypothetical protein (active UniProt ID: Y);MBG4429824 : Uncharacterized protein (active UniProt ID: Y);PBY64699 : Uncharacterized protein (active UniProt ID: Y);MBG4472906 : Uncharacterized protein (active UniProt ID: Y);HEP8496824 : Uncharacterized protein (active UniProt ID: Y);A0A4Z0FSA5 : Uncharacterized protein (active UniProt ID: N);MBV6165315 : Uncharacterized protein (active UniProt ID: Y);TGA86019 : Uncharacterized protein (active UniProt ID: Y)	True
2468022659	pdb	True	NA	NA
2468022659	af50m	False	Tail fiber protein	True
1376324314	pdb	True	NA	NA
1376324314	af50m	True	NA	NA
1908379286	pdb	True	NA	NA
1908379286	af50m	True	NA	NA
383389567	pdb	True	NA	NA
383389567	af50m	False	Uncharacterized protein	False
2512621466	pdb	False	Baseplate hub protein pb3 (BHP-pb3) (Tail protein pb3) [UniProt ID: Q6QGE9] 	True
2512621466	af50m	False	Tip attachment protein J domain-containing protein	True
383389624	pdb	True	NA	NA
383389624	af50m	True	NA	NA
383389676	pdb	True	NA	NA
383389676	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;PKM17445 : Uncharacterized protein (active UniProt ID: Y);A0A2N1Y894 : MarR family transcriptional regulator (active UniProt ID: N)	True
383389724	pdb	True	NA	NA
383389724	af50m	True	NA	NA
383389776	pdb	True	NA	NA
383389776	af50m	True	NA	NA
383389827	pdb	True	NA	NA
383389827	af50m	True	NA	NA
383389872	pdb	True	NA	NA
383389872	af50m	True	NA	NA
2492010706	pdb	True	NA	NA
2492010706	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;A0A9Q5AP50 : Lysis protein (active UniProt ID: N);WP_169853631 : hypothetical protein (active UniProt ID: Y);A0A7Y1HNA5 : Lysis protein (active UniProt ID: N);NMZ63431 : Uncharacterized protein (active UniProt ID: N);NMZ63431 : Uncharacterized protein (active UniProt ID: Y)	True
383389919	pdb	True	NA	NA
383389919	af50m	True	NA	NA
974131585	pdb	True	NA	NA
974131585	af50m	False	Phage tail protein	True
2127008225	pdb	True	NA	NA
2127008225	af50m	False	Phage tail protein	True
2430210751	pdb	True	NA	NA
2430210751	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;KVJ17575 : Uncharacterized protein (active UniProt ID: Y);MDK5599175 : Uncharacterized protein (active UniProt ID: Y);A0A9Q7PJ11 : Uncharacterized protein (active UniProt ID: N);WP_059686702 : hypothetical protein (active UniProt ID: Y);GJJ97899 : Uncharacterized protein (active UniProt ID: Y);MDU7760940 : Uncharacterized protein (active UniProt ID: Y);SAE99005 : Uncharacterized protein (active UniProt ID: Y);MDU4295962 : Uncharacterized protein (active UniProt ID: Y);CAE7810658 : Uncharacterized protein (active UniProt ID: N);UWA77281 : Uncharacterized protein (active UniProt ID: Y);EML6162386 : Uncharacterized protein (active UniProt ID: Y);MDC6399322 : Uncharacterized protein (active UniProt ID: Y);MEC5729061 : Uncharacterized protein (active UniProt ID: Y);MEC5861011 : Uncharacterized protein (active UniProt ID: Y);CZY09808 : Uncharacterized protein (active UniProt ID: Y);A0A9W5F993 : Uncharacterized protein (active UniProt ID: N);ELW9467277 : Uncharacterized protein (active UniProt ID: Y);KPS95762 : hypothetical protein (active UniProt ID: N);RWT16878 : Uncharacterized protein (active UniProt ID: Y);A0A145WWD4 : Uncharacterised protein (active UniProt ID: N);A0A7Z3MHE6 : Uncharacterized protein (active UniProt ID: N);A0AA37MW82 : Uncharacterized protein (active UniProt ID: N);CAH3978509 : Uncharacterized protein (active UniProt ID: Y);EKW1577897 : Uncharacterized protein (active UniProt ID: Y);SAF68495 : Uncharacterized protein (active UniProt ID: Y);CAE7795799 : Uncharacterized protein (active UniProt ID: N);QLV82773 : Uncharacterized protein (active UniProt ID: Y);HEB5011721 : Uncharacterized protein (active UniProt ID: Y);HEG1767366 : Uncharacterized protein (active UniProt ID: Y);CZZ46185 : Uncharacterized protein (active UniProt ID: Y);SAC94854 : Uncharacterized protein (active UniProt ID: Y);CZU18834 : Uncharacterized protein (active UniProt ID: Y);MDK5475383 : Uncharacterized protein (active UniProt ID: Y);A0A155VJI2 : Uncharacterized protein (active UniProt ID: N);HDV8455211 : Uncharacterized protein (active UniProt ID: Y);A0A0P8ST73 : Uncharacterized protein (active UniProt ID: N);CZW20530 : Uncharacterized protein (active UniProt ID: Y);HEG2040273 : Uncharacterized protein (active UniProt ID: Y);DAY94173 : Uncharacterized protein (active UniProt ID: Y);CAH3698823 : Uncharacterized protein (active UniProt ID: Y);QLV59445 : Uncharacterized protein (active UniProt ID: Y);SAG58416 : Uncharacterized protein (active UniProt ID: Y);A0A0X6Q3Y8 : Uncharacterized protein (active UniProt ID: N);MDU2338753 : Uncharacterized protein (active UniProt ID: Y);SAD48926 : Uncharacterized protein (active UniProt ID: Y);MDG9837689 : Uncharacterized protein (active UniProt ID: Y)	True
1336447823	pdb	False	ATP-grasp domain-containing protein [UniProt ID: A6G4D7] 	True
1336447823	af50m	False	ATP-grasp fold RimK-type domain-containing protein	True
1336447957	pdb	False	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)] [UniProt ID: O60568] 	True
1336447957	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;A0A9Q5AP31 : Fe2OG dioxygenase domain-containing protein (active UniProt ID: N);WP_169853596 : hypothetical protein (active UniProt ID: Y);A0A7Y1N3F1 : Fe2OG dioxygenase domain-containing protein (active UniProt ID: N);NMZ63396 : Uncharacterized protein (active UniProt ID: Y);NMZ63396 : Uncharacterized protein (active UniProt ID: N)	True
2162922775	pdb	True	NA	NA
2162922775	af50m	True	NA	NA
1483609514	pdb	True	NA	NA
1483609514	af50m	False	Lysis protein	True
1249580769	pdb	True	NA	NA
1249580769	af50m	False	Amidoligase enzyme	True
1882265395	pdb	True	NA	NA
1882265395	af50m	True	NA	NA
1808209908	pdb	True	NA	NA
1808209908	af50m	True	NA	NA
1199937610	pdb	True	NA	NA
1199937610	af50m	False	DUF2786 domain-containing protein	True
1033017467	pdb	True	NA	NA
1033017467	af50m	True	NA	NA
1199937667	pdb	True	NA	NA
1199937667	af50m	True	NA	NA
1845926027	pdb	True	NA	NA
1845926027	af50m	True	NA	NA
1808210107	pdb	True	NA	NA
1808210107	af50m	True	NA	NA
1199937739	pdb	True	NA	NA
1199937739	af50m	True	NA	NA
1386682584	pdb	True	NA	NA
1386682584	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;WP_149632220 : hypothetical protein (active UniProt ID: Y);A0A5B0E2N1 : Uncharacterized protein (active UniProt ID: N);KAA0973244 : Uncharacterized protein (active UniProt ID: Y)	False
1199937807	pdb	True	NA	NA
1199937807	af50m	True	NA	NA
1199937866	pdb	True	NA	NA
1199937866	af50m	False	Lipoprotein	True
1199937924	pdb	True	NA	NA
1199937924	af50m	False	Glycine zipper 2TM domain-containing protein	True
1199937990	pdb	True	NA	NA
1199937990	af50m	True	NA	NA
1199938093	pdb	False	Multifunctional procollagen lysine hydroxylase and glycosyltransferase LH3 [Includes: Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (EC 1.14.11.4) (Lysyl hydroxylase 3) (LH3); Procollagen glycosyltransferase (EC 2.4.1.50) (EC 2.4.1.66) (Galactosylhydroxylysine-glucosyltransferase) (Procollagen galactosyltransferase) (Procollagen glucosyltransferase)] [UniProt ID: O60568] 	True
1199938093	af50m	False	Fe2OG dioxygenase domain-containing protein	True
1829640858	pdb	True	NA	NA
1829640858	af50m	False	Transposase	True
1199938244	pdb	True	NA	NA
1199938244	af50m	True	NA	NA
1846450901	pdb	True	NA	NA
1846450901	af50m	False	GIY-YIG domain-containing protein	True
1199938311	pdb	True	NA	NA
1199938311	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;A0A2D9KHC5 : Uncharacterized protein (active UniProt ID: N);MAP22092 : Uncharacterized protein (active UniProt ID: Y)	False
1199938360	pdb	False	Stringent starvation protein B homolog (Adapter protein SspB) (Specificity-enhancing factor SspB) [UniProt ID: P45206] 	True
1199938360	af50m	False	ClpXP protease specificity-enhancing factor	True
1199938402	pdb	True	NA	NA
1199938402	af50m	True	NA	NA
1199938445	pdb	True	NA	NA
1199938445	af50m	True	NA	NA
1386683379	pdb	False	Crossover junction endodeoxyribonuclease RuvC (EC 3.1.21.10) (Holliday junction nuclease RuvC) (Holliday junction resolvase RuvC) [UniProt ID: Q9RX75] 	True
1386683379	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;A0A5N7TP52 : Holliday junction nuclease RuvC (active UniProt ID: N);MPS58881 : Uncharacterized protein (active UniProt ID: Y)	True
2220661795	pdb	False	Nicotinamide phosphoribosyltransferase (NAmPRTase) (Nampt) (EC 2.4.2.12) (Pre-B-cell colony-enhancing factor 1) (Pre-B cell-enhancing factor) (Visfatin) [UniProt ID: P43490] 	True
2220661795	af50m	False	Nicotinamide phosphoribosyltransferase (EC 2.4.2.12)	True
610507900	pdb	True	NA	NA
610507900	af50m	True	NA	NA
2220661949	pdb	True	NA	NA
2220661949	af50m	True	NA	NA
2220662011	pdb	True	NA	NA
2220662011	af50m	False	Aminoglycoside phosphotransferase domain-containing protein	True
1896095009	pdb	True	NA	NA
1896095009	af50m	False	Ead/Ea22-like family protein	True
2220662075	pdb	True	NA	NA
2220662075	af50m	False	HNH endonuclease	True
2220662146	pdb	True	NA	NA
2220662146	af50m	True	NA	NA
2492013964	pdb	True	NA	NA
2492013964	af50m	False	Uncharacterized protein	False
2220662204	pdb	True	NA	NA
2220662204	af50m	True	NA	NA
1846451712	pdb	True	NA	NA
1846451712	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;D8NBS2 : Phage tail collar domain-containing protein (active UniProt ID: N);YP_005996692 : hypothetical protein (active UniProt ID: N);WP_020748500 : hypothetical protein (active UniProt ID: N);CBJ37910 : Uncharacterized protein (active UniProt ID: Y)	True
1352801860	pdb	True	NA	NA
1352801860	af50m	False	Uncharacterized protein	False
1026924270	pdb	False	Heat shock protein 75 kDa, mitochondrial (HSP 75) (Heat shock protein family C member 5) (TNFR-associated protein 1) (Tumor necrosis factor type 1 receptor-associated protein) (TRAP-1) [UniProt ID: Q12931] 	True
1026924270	af50m	False	ATP-binding protein	True
1026924315	pdb	True	NA	NA
1026924315	af50m	True	NA	NA
1026924358	pdb	False	Mitochondrial genome maintenance exonuclease 1 (EC 3.1.-.-) [UniProt ID: Q9BQP7] 	True
1026924358	af50m	False	Exonuclease	True
1026924407	pdb	True	NA	NA
1026924407	af50m	False	A1 protein	True
198385616	pdb	True	NA	NA
198385616	af50m	False	Lysozyme	True
318054505	pdb	True	NA	NA
318054505	af50m	False	Uncharacterized protein	False
2494013720	pdb	True	NA	NA
2494013720	af50m	True	NA	NA
2316771663	pdb	True	NA	NA
2316771663	af50m	False	DUF3987 domain-containing protein	True
2508693860	pdb	True	NA	NA
2508693860	af50m	False	Putative DnaT-like domain-containing protein	True
2494013967	pdb	True	NA	NA
2494013967	af50m	True	NA	NA
2029232708	pdb	True	NA	NA
2029232708	af50m	True	NA	NA
1209836123	pdb	True	NA	NA
1209836123	af50m	False	DUF3310 domain-containing protein	True
1209836186	pdb	True	NA	NA
1209836186	af50m	True	NA	NA
1209836247	pdb	True	NA	NA
1209836247	af50m	False	Thymidylate kinase-like domain-containing protein	True
2091262720	pdb	True	NA	NA
2091262720	af50m	True	NA	NA
1698243385	pdb	True	NA	NA
1698243385	af50m	False	Norphogenetic protein	True
1209836369	pdb	True	NA	NA
1209836369	af50m	True	NA	NA
2091262821	pdb	True	NA	NA
2091262821	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;A0A2D7DQW7 : YgjP-like metallopeptidase domain-containing protein (active UniProt ID: N);OUU84980 : hypothetical protein (active UniProt ID: N);MAI26870 : Uncharacterized protein (active UniProt ID: Y);A0A424K978 : M48 family peptidase (active UniProt ID: N);RPG14172 : M48 family peptidase (active UniProt ID: Y);A0A1Z8XMS4 : Uncharacterized protein (active UniProt ID: N)	True
1209836420	pdb	True	NA	NA
1209836420	af50m	False	Uncharacterized protein	False
1278224002	pdb	False	Virion protein [UniProt ID: A0A2K8HLV9] 	True
1278224002	af50m	False	Phytase-like domain-containing protein	True
114796434	pdb	True	NA	NA
114796434	af50m	False	merged	True
209528735	pdb	True	NA	NA
209528735	af50m	True	NA	NA
1103734790	pdb	True	NA	NA
1103734790	af50m	True	NA	NA
953264240	pdb	False	Anti-CBASS protein 2 (Acb2) [UniProt ID: A0A1C8HPQ3] 	True
953264240	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;WP_104669678 : hypothetical protein (active UniProt ID: Y);AVA33001 : Uncharacterized protein (active UniProt ID: Y);A0A2L0WYR9 : Uncharacterized protein (active UniProt ID: N)	False
2071734901	pdb	True	NA	NA
2071734901	af50m	True	NA	NA
563784717	pdb	True	NA	NA
563784717	af50m	False	VRR-NUC domain-containing protein	True
17313240	pdb	True	NA	NA
17313240	af50m	False	Phage tail protein	True
2071735822	pdb	True	NA	NA
2071735822	af50m	False	Uncharacterized protein	False
1038266356	pdb	True	NA	NA
1038266356	af50m	True	NA	NA
1278226425	pdb	True	NA	NA
1278226425	af50m	True	NA	NA
2296131732	pdb	True	NA	NA
2296131732	af50m	True	NA	NA
2296131864	pdb	False	Purine phosphoribosyltransferase (GpT-2) (EC 2.4.2.-) [UniProt ID: Q97W22] 	True
2296131864	af50m	False	Phosphoribosyltransferase domain-containing protein	True
471216511	pdb	True	NA	NA
471216511	af50m	False	Radical SAM protein	True
2333487600	pdb	True	NA	NA
2333487600	af50m	True	NA	NA
334738001	pdb	True	NA	NA
334738001	af50m	False	Terminase	True
334738049	pdb	False	PHIKZ056.1 [UniProt ID: L7T138] PHIKZ055 [UniProt ID: Q8SDA7] 	True
334738049	af50m	False	DNA-directed RNA polymerase (EC 2.7.7.6)	True
334738118	pdb	True	NA	NA
334738118	af50m	True	NA	NA
334738187	pdb	True	NA	NA
334738187	af50m	True	NA	NA
334738232	pdb	True	NA	NA
334738232	af50m	False	Integron gene cassette protein	True
334738277	pdb	False	Dual specificity phosphatase 28 (EC 3.1.3.16) (EC 3.1.3.48) [UniProt ID: Q4G0W2] 	True
334738277	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;A0A222DP93 : Uncharacterized protein (active UniProt ID: N);ASP15647 : Uncharacterized protein (active UniProt ID: Y);OZO15808 : Uncharacterized protein (active UniProt ID: Y);RUG05523 : Uncharacterized protein (active UniProt ID: Y);A0A509JDC7 : Dual specificity protein phosphatase family protein (active UniProt ID: N);RPW20622 : Uncharacterized protein (active UniProt ID: Y);UWU64938 : Dual specificity protein phosphatase family protein (active UniProt ID: Y);RUG23060 : Uncharacterized protein (active UniProt ID: Y);RUG36324 : Uncharacterized protein (active UniProt ID: Y);OZO39019 : Uncharacterized protein (active UniProt ID: Y);ASP07892 : Uncharacterized protein (active UniProt ID: Y);RPW15686 : Uncharacterized protein (active UniProt ID: Y);WP_094069694 : dual specificity protein phosphatase family protein (active UniProt ID: Y);OZO07112 : Uncharacterized protein (active UniProt ID: Y);RUG31332 : Uncharacterized protein (active UniProt ID: Y)	True
2296132459	pdb	True	NA	NA
2296132459	af50m	True	NA	NA
334738317	pdb	True	NA	NA
334738317	af50m	True	NA	NA
1832334224	pdb	True	NA	NA
1832334224	af50m	True	NA	NA
334738351	pdb	False	Influenza virus NS1A-binding protein (NS1-BP) (NS1-binding protein) (Aryl hydrocarbon receptor-associated protein 3) (Kelch-like protein 39) [UniProt ID: Q9Y6Y0] 	True
334738351	af50m	False	Galactose oxidase	True
1585558587	pdb	True	NA	NA
1585558587	af50m	False	Uncharacterized protein	False
223556774	pdb	True	NA	NA
223556774	af50m	True	NA	NA
2441065734	pdb	True	NA	NA
2441065734	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;WP_050939561 : hypothetical protein (active UniProt ID: Y);HAP0195885 : Uncharacterized protein (active UniProt ID: Y);KNF77795 : Uncharacterized protein (active UniProt ID: Y);HBA8767906 : Uncharacterized protein (active UniProt ID: Y);A0A0L1BY49 : Uncharacterized protein (active UniProt ID: N);MDI0574821 : Uncharacterized protein (active UniProt ID: Y)	False
2296132874	pdb	True	NA	NA
2296132874	af50m	False	Scaffolding protein	True
2441065857	pdb	True	NA	NA
2441065857	af50m	True	NA	NA
529282587	pdb	True	NA	NA
529282587	af50m	True	NA	NA
529282656	pdb	True	NA	NA
529282656	af50m	True	NA	NA
1899050620	pdb	True	NA	NA
1899050620	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;A0AAE9GRT5 : DNA primase/helicase (active UniProt ID: Y);YP_010764304 : DNA primase/helicase (active UniProt ID: Y);A0A9D8YQG8 : Phage tail protein (active UniProt ID: Y);YP_010764173 : hypothetical protein (active UniProt ID: Y);ALF51431 : Uncharacterized protein (active UniProt ID: Y);YP_009200046 : hypothetical protein (active UniProt ID: Y);A0A081J8I6 : Phage protein (active UniProt ID: Y);AMD42928 : Uncharacterized protein (active UniProt ID: Y);YP_010763918 : DNA primase/helicase (active UniProt ID: Y);YP_008859270 : hypothetical protein (active UniProt ID: Y);G0YV97 : Uncharacterized protein (active UniProt ID: Y);QAU05037 : Uncharacterized protein (active UniProt ID: Y);AGR89179 : Uncharacterized protein (active UniProt ID: Y);V5JW57 : Uncharacterized protein (active UniProt ID: Y);V5JWP0 : Uncharacterized protein (active UniProt ID: Y);YP_009273864 : hypothetical protein (active UniProt ID: Y);YP_010763753 : hypothetical protein (active UniProt ID: Y);YP_010765358 : DNA primase/helicase (active UniProt ID: Y);YP_010765556 : DNA primase/helicase (active UniProt ID: Y);A0A0N7IR55 : Single-stranded DNA-binding protein (active UniProt ID: Y);YP_008857099 : hypothetical protein (active UniProt ID: Y);KEH13024 : Uncharacterized protein (active UniProt ID: Y);F4YDM7 : Uncharacterized protein (active UniProt ID: Y);A0A385IU12 : Uncharacterized protein (active UniProt ID: Y);AXY86902 : Uncharacterized protein (active UniProt ID: Y);A0A3G8F7M1 : Single-stranded DNA-binding protein (active UniProt ID: Y);YP_007236505 : hypothetical protein (active UniProt ID: Y);AZF89646 : Uncharacterized protein (active UniProt ID: Y);ALJ97566 : Uncharacterized protein (active UniProt ID: Y);AEK21634 : Uncharacterized protein (active UniProt ID: Y);YP_007002426 : hypothetical protein (active UniProt ID: Y);YP_009186996 : hypothetical protein (active UniProt ID: Y);AGR89355 : Uncharacterized protein (active UniProt ID: Y);A0A0N7EMG1 : Uncharacterized protein (active UniProt ID: Y);A0A125RPB6 : Uncharacterized protein (active UniProt ID: Y);A0A410T7R0 : Uncharacterized protein (active UniProt ID: Y);UOL47894 : DNA primase/helicase (active UniProt ID: Y);A0AAE9GU74 : DNA primase/helicase (active UniProt ID: Y);YP_010762848 : hypothetical protein (active UniProt ID: Y);A0A072T789 : Phage protein (active UniProt ID: N);KEH08692 : Uncharacterized protein (active UniProt ID: Y);UOL48090 : DNA primase/helicase (active UniProt ID: Y);MBO6558664 : Uncharacterized protein (active UniProt ID: Y);WP_016057448 : hypothetical protein (active UniProt ID: N);ADF58174 : Uncharacterized protein (active UniProt ID: Y)	True
529282731	pdb	True	NA	NA
529282731	af50m	True	NA	NA
345650878	pdb	True	NA	NA
345650878	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;WP_132833062 : hypothetical protein (active UniProt ID: Y);A0A4V2TLA5 : Uncharacterized protein (active UniProt ID: N);TCQ83899 : Uncharacterized protein (active UniProt ID: Y)	False
701904602	pdb	False	Putative tail fiber protein [UniProt ID: I2GUG0] 	True
701904602	af50m	False	Tail fiber protein	True
529282821	pdb	True	NA	NA
529282821	af50m	True	NA	NA
371767326	pdb	False	Tailspike protein-like Ig-like domain-containing protein [UniProt ID: H2BD96] 	True
371767326	af50m	False	Tailspike protein-like Ig-like domain-containing protein	True
2306488356	pdb	True	NA	NA
2306488356	af50m	True	NA	NA
371767389	pdb	True	NA	NA
371767389	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;WP_056786214 : hypothetical protein (active UniProt ID: Y);PRW80906 : Uncharacterized protein (active UniProt ID: Y);MBA5956282 : Uncharacterized protein (active UniProt ID: Y);A0A0Q8YTR9 : Rad52/22 family double-strand break repair protein (active UniProt ID: N);KRC97726 : Uncharacterized protein (active UniProt ID: Y);PRW80131 : Uncharacterized protein (active UniProt ID: Y)	True
2449455301	pdb	True	NA	NA
2449455301	af50m	False	TspB protein	True
1613838784	pdb	True	NA	NA
1613838784	af50m	False	Nucleotide pyrophosphohydrolase	True
2289973845	pdb	False	Recombination enhancement function protein [UniProt ID: P35926] 	True
2289973845	af50m	False	Recombination enhancement, RecA-dependent nuclease	True
1007467093	pdb	False	Holliday junction resolvase RecU (EC 3.1.21.10) [UniProt ID: P39792] 	True
1007467093	af50m	False	VRR-NUC domain-containing protein	True
8895116	pdb	True	NA	NA
8895116	af50m	False	WARNING UniProt ID obsolete, info fetched from UniParc;WP_141227457 : HK97 gp10 family phage protein (active UniProt ID: N);A0A381G4Y0 : Phage protein, HK97 gp10 family (active UniProt ID: N);SUX60604 : Phage protein, HK97 gp10 family (active UniProt ID: Y);BCU51177 : Uncharacterized protein (active UniProt ID: Y);WP_141227457 : HK97-gp10 family putative phage morphogenesis protein (active UniProt ID: Y)	True
148912813	pdb	True	NA	NA
