virus tax id	virus name	virus lineage	refseq id	KEGG GENOME	KEGG DISEASE	DISEASE	host tax id	host name	host lineage	pmid	evidence	sample type	source organism
10658	Enterobacteria phage PRD1	Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Tectiliviricetes; Kalamavirales; Tectiviridae; Alphatectivirus; Alphatectivirus PRD1	NC_001421				584	Proteus mirabilis	Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Morganellaceae; Proteus		UniProt		
10658	Enterobacteria phage PRD1	Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Tectiliviricetes; Kalamavirales; Tectiviridae; Alphatectivirus; Alphatectivirus PRD1	NC_001421				666	Vibrio cholerae	Bacteria; Pseudomonadota; Gammaproteobacteria; Vibrionales; Vibrionaceae; Vibrio		UniProt		
10658	Enterobacteria phage PRD1	Viruses; Varidnaviria; Bamfordvirae; Preplasmiviricota; Tectiliviricetes; Kalamavirales; Tectiviridae; Alphatectivirus; Alphatectivirus PRD1	NC_001421				90371	Salmonella enterica subsp. enterica serovar Typhimurium	Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Salmonella; Salmonella enterica		UniProt		
1737464	Pbunalikevirus phiFenriz	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254133				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
1737464	Pbunalikevirus phiFenriz	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254133				317	Pseudomonas syringae	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1		RefSeq		
1737464	Pbunalikevirus phiFenriz	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254133				498388	Escherichia coli C	Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli		RefSeq		
1737465	Pbunalikevirus phiHabibi	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254132				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
1737465	Pbunalikevirus phiHabibi	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254132				317	Pseudomonas syringae	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1		RefSeq		
1737465	Pbunalikevirus phiHabibi	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254132				498388	Escherichia coli C	Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli		RefSeq		
1737466	Pbunalikevirus phiMoody	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254131				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
1737466	Pbunalikevirus phiMoody	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254131				317	Pseudomonas syringae	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1		RefSeq		
1737466	Pbunalikevirus phiMoody	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254131				498388	Escherichia coli C	Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli		RefSeq		
1737467	Pbunalikevirus phiVader	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254130				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
1737467	Pbunalikevirus phiVader	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254130				317	Pseudomonas syringae	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1		RefSeq		
1737467	Pbunalikevirus phiVader	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus PB1	KT254130				498388	Escherichia coli C	Bacteria; Pseudomonadota; Gammaproteobacteria; Enterobacterales; Enterobacteriaceae; Escherichia; Escherichia coli		RefSeq		
2011081	Primolicivirus Pf1	Viruses; Monodnaviria; Loebvirae; Hofneiviricota; Faserviricetes; Tubulavirales; Inoviridae; Primolicivirus	NC_001331				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		NCBI Virus, RefSeq, UniProt		
3074924	Pseudomonas aeruginosa phage L13	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	OR255951				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group				
3056216	Pseudomonas phage 109	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	OQ831730				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
3038233	Pseudomonas phage 10P302A	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Ghunavirus; unclassified Ghunavirus	OQ622093				317	Pseudomonas syringae	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1		RefSeq		
2911431	Pseudomonas phage 119X	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fredfastierviridae; Jamesmcgillvirus; Jamesmcgillvirus jv119X	NC_007807				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
581037	Pseudomonas phage 14-1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus pv141	NC_011703				286	Pseudomonas	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae				
581037	Pseudomonas phage 14-1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus pv141	NC_011703				208964	Pseudomonas aeruginosa PAO1	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa	19678828	Literature		
1729938	Pseudomonas phage 15b	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	LN889992				286	Pseudomonas	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae				
1729936	Pseudomonas phage 17A	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Ghunavirus; Ghunavirus 17A	NC_048201				286	Pseudomonas	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae				
2924865	Pseudomonas phage 185	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mesyanzhinovviridae; Rabinowitzvirinae; Yuavirus; unclassified Yuavirus	OM809160				208964	Pseudomonas aeruginosa PAO1	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa		RefSeq		
198110	Pseudomonas phage 201phi2-1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	NC_010821				587753	Pseudomonas chlororaphis	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas chlororaphis group		NCBI Virus, RefSeq, UniProt		
3028482	Pseudomonas phage 20Aug401	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Krylovirinae; Phikmvvirus; unclassified Phikmvvirus	OQ319930				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
3028483	Pseudomonas phage 20Aug470	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fredfastierviridae; Jamesmcgillvirus; unclassified Jamesmcgillvirus	OQ319931				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
3028487	Pseudomonas phage 20Oct199	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	OQ319935				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
3028488	Pseudomonas phage 20Sep416	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pakpunavirus; unclassified Pakpunavirus	NC_073612				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		NCBI Virus, RefSeq		
3028489	Pseudomonas phage 20Sep418	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pakpunavirus; unclassified Pakpunavirus	OQ319937				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
3028490	Pseudomonas phage 20Sep420	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	OQ319938				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
2163970	Pseudomonas phage 22PfluR64PP	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Pifdecavirus; Pifdecavirus pv22PfluR64PP	NC_047965				294	Pseudomonas fluorescens	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group	30621713	Literature, RefSeq		
3056485	Pseudomonas phage 4P	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	OQ872152				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
2713465	Pseudomonas phage 4phiC20-1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Krylovirinae; Phikmvvirus; Phikmvvirus phiKMV	MN553585				208964	Pseudomonas aeruginosa PAO1	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa		RefSeq		
2713464	Pseudomonas phage 4phiC20-2	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Migulavirinae; Litunavirus; unclassified Litunavirus	MN553583, MN553584				208964	Pseudomonas aeruginosa PAO1	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa		RefSeq		
2163980	Pseudomonas phage 67PfluR64PP	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Pifdecavirus; Pifdecavirus pv22PfluR64PP	MH179478				294	Pseudomonas fluorescens	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group		RefSeq		
2912301	Pseudomonas phage 6917	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	OL362268				286	Pseudomonas	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae		RefSeq		
2912302	Pseudomonas phage 6959	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	OL362269				286	Pseudomonas	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae		RefSeq		
2163977	Pseudomonas phage 71PfluR64PP	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Pifdecavirus; Pifdecavirus pv22PfluR64PP	MH179475				294	Pseudomonas fluorescens	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group		RefSeq		
347325	Pseudomonas phage 73	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Septimatrevirus; Septimatrevirus sv73	NC_007806				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
2723907	Pseudomonas phage 8P	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	MT152150				286	Pseudomonas	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae		RefSeq		
2163965	Pseudomonas phage 98PfluR60PP	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Schitoviridae; Littlefixvirus; unclassified Littlefixvirus	NC_070866				294	Pseudomonas fluorescens	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group		NCBI Virus, RefSeq		
1775248	Pseudomonas phage AAT-1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pamexvirus; unclassified Pamexvirus	NC_073038				652611	Pseudomonas aeruginosa PA14	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa		RefSeq		
2163982	Pseudomonas phage Achelous	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Colwellvirinae; Uliginvirus; Uliginvirus achelous	NC_047956				663959	Pseudomonas syringae pv. avii	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1		RefSeq		
1235689	Pseudomonas phage AF	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	NC_019923				303	Pseudomonas putida	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas putida group	23084421	Literature		
2869573	Pseudomonas phage AH02	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	MZ501271				198620	Pseudomonas koreensis	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas fluorescens group		RefSeq		
2869574	Pseudomonas phage AH05	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Ghunavirus; unclassified Ghunavirus	MZ501272				317	Pseudomonas syringae	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1		RefSeq		
2794941	Pseudomonas phage AIIMS-Pa-A1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Krylovirinae; Phikmvvirus; unclassified Phikmvvirus	MW117144				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
2801525	Pseudomonas phage AIIMS-Pa-B1	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; unclassified Casadabanvirus	NC_061436				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		NCBI Virus, RefSeq		
2873380	Pseudomonas phage AIIMS-Plu-RaNi	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mesyanzhinovviridae; Bradleyvirinae; Abidjanvirus; unclassified Abidjanvirus	MZ926748				47886	Pseudomonas luteola	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas		RefSeq		
2873451	Pseudomonas phage ALEA	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Ghunavirus; unclassified Ghunavirus	MZ826344				323	Pseudomonas syringae pv. tomato	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group		RefSeq		
2928829	Pseudomonas phage Almagne	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	OM982619				317	Pseudomonas syringae	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1		RefSeq		
2163983	Pseudomonas phage Alpheus	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Colwellvirinae; Uliginvirus; Uliginvirus alpheus	NC_047957				663959	Pseudomonas syringae pv. avii	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1		RefSeq		
3003706	Pseudomonas phage Amjad_SA	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	OP917824				43263	Pseudomonas alcaligenes	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
1868597	Pseudomonas phage AN14	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mesyanzhinovviridae; Rabinowitzvirinae; Yuavirus; Pseudomonas virus M6	KX198613				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
1873949	Pseudomonas phage Andromeda	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Bifseptvirus; Bifseptvirus andromeda	NC_031014				317	Pseudomonas syringae	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1		RefSeq		
2719595	Pseudomonas phage antinowhere	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; Pbunavirus antinowhere	NC_050150				208964	Pseudomonas aeruginosa PAO1	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group; Pseudomonas aeruginosa		RefSeq		
3047163	Pseudomonas phage APTC-PA18	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	OP957382				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
3050039	Pseudomonas phage Arefeen1	Viruses; unclassified bacterial viruses	OR472559				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
2928830	Pseudomonas phage Astolliot	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Otagovirus; unclassified Otagovirus	OM982621				317	Pseudomonas syringae	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas syringae group; Pseudomonas syringae group genomosp. 1		RefSeq		
2814691	Pseudomonas phage AUS034	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bruynoghevirus; unclassified Bruynoghevirus	MW512831				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
2814692	Pseudomonas phage AUS260	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Septimatrevirus; unclassified Septimatrevirus	MW512832				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
2814693	Pseudomonas phage AUS301	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	MW512833				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
2814694	Pseudomonas phage AUS391	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Pbunavirus; unclassified Pbunavirus	MW512834				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
2663264	Pseudomonas phage AUS531phi	Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; unclassified Caudoviricetes	MN585195				287	Pseudomonas aeruginosa	Bacteria; Pseudomonadota; Gammaproteobacteria; Pseudomonadales; Pseudomonadaceae; Pseudomonas; Pseudomonas aeruginosa group		RefSeq		
